clients,update_bytes,artifact_bytes,runs,hash_ms_median,aggregate_ms_median,verification_ms_median,verification_ms_q1,verification_ms_q3,verification_ms_p95,throughput_mib_s_median,peak_rss_kib_max
10,4096,40960,10,0.0357335,0.0151445,0.057208499999999995,0.056152,0.057666749999999996,0.0585861,682.8186173396293,41252
10,65536,655360,10,0.4503465,0.083636,0.6283715,0.56277175,0.70158625,0.78218755,996.2198367154992,41304
10,262144,2621440,10,1.702825,0.5379415000000001,2.775219,2.69373975,2.9490645,3.1263654999999995,900.8517040420381,42660
10,1048576,10485760,10,6.9818560000000005,2.1891154999999998,11.4006455,10.7990445,11.8290605,12.22806075,877.2704991418088,47236
10,4194304,41943040,10,26.849457,9.101429,44.9300955,40.31093775,47.924814,49.20393705,890.2757372975618,65884
10,10485760,104857600,10,69.18113550000001,28.029874,119.11796050000001,113.998216,123.44958774999999,130.80604245,839.580227103509,103200
50,4096,204800,10,0.1887345,0.0809725,0.2771855,0.2724285,0.30409825,0.3586025499999999,704.6282624926123,41388
50,65536,3276800,10,2.0542040000000004,0.3562925,2.499586,2.3135615,2.6263845000000003,2.8123423499999998,1251.1005104120734,41116
50,262144,13107200,10,7.974247999999999,1.549237,10.092936,9.94822125,10.50929225,10.701383250000001,1238.6586366481724,42712
50,1048576,52428800,10,34.717925,7.403617000000001,44.573864,43.287980749999996,45.05709175,45.9963421,1121.73819495729,47524
50,4194304,209715200,10,119.80077700000001,30.4578365,157.2967405,154.518143,176.8610195,192.90299735,1271.4829957417983,65924
50,10485760,524288000,10,312.380721,109.7167715,442.085291,435.16869375,458.31766825,467.0104315,1131.0423185732934,102744
100,4096,409600,10,0.3528255,0.1429555,0.504412,0.48107475,0.51435275,0.52486475,774.575949106529,41724
100,65536,6553600,10,3.6417355000000002,0.5941005,4.307548,4.2855877499999995,4.9677115,5.3811186499999994,1450.949096867353,41292
100,262144,26214400,10,14.2753035,2.1224879999999997,16.8163075,16.75506475,16.98375875,18.12043735,1486.6524270274908,42804
100,1048576,104857600,10,61.518024999999994,11.743989,75.068938,71.31666875,79.71301550000001,82.61738249999999,1332.2895258047429,47452
100,4194304,419430400,10,244.5303905,61.308988,314.239535,294.03355375,338.43284625,360.5915098,1273.6035071477236,66300
100,10485760,1048576000,10,656.2426785,221.583494,900.9758125000001,884.85828875,909.41646125,944.04295465,1109.9412073802537,102760
